,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,Horsepower,Displacement_L,Cylinder_Type
1569,Audi,A6 2.0T Premium Plus,2016,63398,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Gray,At least 1 accident or damage reported,Yes,"$19,500",252.0,2.0,I4
1570,Chevrolet,Suburban 1500 LT,2008,162750,Gasoline,320.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Dual Shift,White,Black,At least 1 accident or damage reported,Yes,"$7,200",320.0,5.3,V8
1571,Jaguar,XK R,2012,38383,Gasoline,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,"$36,949",510.0,5.0,V8
1572,Porsche,911 Carrera GTS,2022,1837,Gasoline,3.0L H6 24V GDI DOHC Twin Turbo,Automatic,Aventurine Green Metallic,Agave Green,None reported,No,"$179,900",450.0,3.0,H6
1573,Ford,F-250 XLT,2022,36294,Diesel,6.7L V8 32V DDI OHV Turbo Diesel,Automatic,Oxford White,Medium Earth Gray,not defined,No,"$77,535",350.0,6.7,V8
1574,Audi,A4 2.0T Premium,2011,90818,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Black,At least 1 accident or damage reported,Yes,"$8,300",211.0,2.0,I4
1575,Cadillac,ATS 2.0L Turbo,2018,32000,Gasoline,272.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,None reported,Yes,"$22,999",272.0,2.0,I4
1576,Ford,Transit-350 Base,2019,94650,Gasoline,275.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Automatic,White,–,None reported,Yes,"$37,000",275.0,3.7,V6
1577,Mercedes-Benz,G-Class G 63 AMG,2014,49899,Gasoline,536.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,"$72,999",536.0,5.5,V8
1578,Jeep,Wrangler Sahara,2011,55000,Gasoline,202.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Automatic,Red,Black,At least 1 accident or damage reported,Yes,"$35,000",202.0,3.8,V6
1579,BMW,M4 Base,2015,23700,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Dual Shift,Black,Black,None reported,Yes,"$42,800",425.0,3.0,I6
1580,Tesla,Model S P100D,2018,46000,not defined,518.0HP Electric Motor Electric Fuel System,Automatic,White,Black,None reported,Yes,"$59,500",518.0,0.0,Electric
1581,Maserati,Ghibli S GranLusso,2020,12118,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Blue,Brown,None reported,Yes,"$52,900",424.0,3.0,V6
1582,Pontiac,Firebird Trans Am,2001,64000,Gasoline,310.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Manual,Blue,Beige,None reported,Yes,"$21,000",310.0,5.7,V8
1583,Ford,Expedition XLT,2022,22169,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Black,Sandstone,None reported,Yes,"$57,352",375.0,3.5,V6
1584,Ferrari,812 Superfast Base,2020,1575,Gasoline,788.0HP 6.5L 12 Cylinder Engine Gasoline Fuel,Dual Shift,Red,Black,None reported,Yes,"$469,900",788.0,6.5,V12
1585,Tesla,Model X Long Range Plus,2021,46897,not defined,557.0HP Electric Motor Electric Fuel System,Automatic,Blue,Black,None reported,Yes,"$69,000",557.0,0.0,Electric
1586,Land,Rover Range Rover P400 SE SWB,2022,3369,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Automatic,White,Black,None reported,Yes,"$139,500",395.0,3.0,Straight 6
1587,BMW,535 i xDrive,2011,135000,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Blue,Beige,None reported,Yes,"$9,999",300.0,3.0,I6
1588,BMW,428 i xDrive,2015,125000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,"$15,000",240.0,2.0,I4
1589,Cadillac,Escalade ESV Platinum,2017,134000,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Automatic,Gold,Brown,None reported,Yes,"$32,999",420.0,6.2,V8
1590,BMW,X5 xDrive35i,2014,143250,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Black,White,None reported,Yes,"$12,999",300.0,3.0,Straight 6
1591,Lexus,GX 460 Premium,2017,82975,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,Yes,"$31,000",301.0,4.6,V8
1592,MINI,Countryman Cooper S ALL4,2016,91700,Gasoline,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,Manual,White,Black,None reported,Yes,"$13,999",181.0,1.6,I4
1593,Ford,F-150 XLT,2018,72393,Gasoline,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$35,000",325.0,2.7,V6
1594,INFINITI,QX60 Base,2016,71000,Gasoline,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$21,500",265.0,3.5,V6
1595,Lexus,RX 350 Base,2012,160900,Gasoline,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Gray,None reported,Yes,"$15,000",270.0,3.5,V6
1596,Dodge,Charger Scat Pack,2020,40208,Gasoline,485.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Red,Black,At least 1 accident or damage reported,Yes,"$38,000",485.0,6.4,V8
1597,Lexus,IS 350 Base,2017,77300,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,"$30,000",306.0,3.5,V6
1598,Nissan,NV200 SV,2017,16700,Gasoline,131.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,"$26,500",131.0,2.0,I4
1599,Subaru,Impreza 2.0i Premium,2013,112000,Gasoline,148.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Black,Beige,None reported,Yes,"$9,999",148.0,2.0,I4
1600,BMW,M3 Base,2016,55250,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Manual,Blue,White,None reported,Yes,"$49,999",425.0,3.0,I6
1601,INFINITI,QX80 Luxe,2020,69000,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,None reported,Yes,"$31,450",400.0,5.6,V8
1602,Ford,Mustang GT Premium,2016,40570,Gasoline,435.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Manual,Gray,Black,At least 1 accident or damage reported,Yes,"$30,490",435.0,5.0,V8
1603,Toyota,RAV4 TRD Off Road,2020,46500,Gasoline,203.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,"$35,200",203.0,2.5,I4
1604,Honda,S2000 Base,2000,26900,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Manual,Silver,Red,None reported,Yes,"$35,000",240.0,2.0,I4
1605,Jeep,Gladiator Sport,2021,5779,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Firecracker Red Clearcoat,Black,not defined,No,"$41,329",285.0,3.6,V6
1606,Ford,Bronco Big Bend Advanced,2023,12000,Gasoline,275.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,Automatic,Black,–,None reported,Yes,"$54,000",275.0,2.3,I4
1607,Ford,Expedition Timberline,2022,30301,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Dark Matter Metallic,Deep Cypress,None reported,Yes,"$68,420",400.0,3.5,V6
1608,Toyota,Sequoia TRD Pro,2023,600,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,Automatic,Orange,Black,None reported,Yes,"$91,995",437.0,3.4,V6
1609,Plymouth,Prowler Base,2001,22300,Gasoline,253.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Blue,Gray,None reported,Yes,"$28,500",253.0,3.5,V6
1610,Alfa,Romeo Giulia Ti,2023,9275,Gasoline,2.0L I4 16V GDI SOHC Turbo,Automatic,Alfa White,Black,None reported,No,"$43,900",280.0,2.0,I4
1611,Chevrolet,Suburban 1500 LS,2004,171750,E85 Flex Fuel,295.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,Automatic,White,Beige,At least 1 accident or damage reported,Yes,"$12,998",295.0,5.3,V8
1612,Mitsubishi,Lancer Evolution GSR,2013,76500,Gasoline,291.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Manual,Black,Black,None reported,Yes,"$28,000",291.0,2.0,I4
1613,Mercedes-Benz,AMG GLE 43 Coupe 4MATIC,2018,49000,Gasoline,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Blue,Brown,At least 1 accident or damage reported,Yes,"$42,995",385.0,3.0,V6
1614,Audi,R8 5.2 quattro Spyder,2011,75000,Gasoline,525.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,Dual Shift,White,Brown,At least 1 accident or damage reported,Yes,"$74,000",525.0,5.2,V10
1615,Ford,Escape XLT,2007,133300,Gasoline,153.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,Automatic,Silver,Silver,None reported,Yes,"$3,000",153.0,2.3,I4
1616,BMW,X5 3.0si,2007,99700,Gasoline,260.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$8,500",260.0,3.0,I6
1617,Chevrolet,Camaro 2LT,2011,126700,Gasoline,312.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Dual Shift,White,Beige,At least 1 accident or damage reported,Yes,"$14,000",312.0,3.6,V6
1618,BMW,340 i,2016,28000,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Manual,Black,Red,None reported,Yes,"$36,995",320.0,3.0,I6
1619,Mercedes-Benz,SL-Class SL 550,2012,21300,Gasoline,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Automatic,Silver,Red,At least 1 accident or damage reported,Yes,"$38,500",382.0,5.5,V8
1620,Cadillac,Escalade Platinum,2019,92000,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$51,900",420.0,6.2,V8
1621,Chevrolet,Silverado 3500 LTZ,2018,92149,Diesel,6.6L V8 32V DDI OHV Turbo Diesel,Automatic,Black,Jet Black,not defined,No,"$52,889",445.0,6.6,V8
1622,Lexus,RC F Base,2015,25756,Gasoline,467.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$49,995",467.0,5.0,V8
1623,Kia,Forte GT-Line,2021,24534,Gasoline,147.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,"$21,900",147.0,2.0,I4
1624,Land,Rover Range Rover Sport Supercharged Dynamic,2018,58100,Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Red,Black,None reported,Yes,"$53,499",518.0,5.0,V8
1625,Nissan,Titan S,2017,20220,Gasoline,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Gray,None reported,Yes,"$32,324",390.0,5.6,V8
1626,Honda,Accord EX-L 2.0T,2019,40069,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Black,At least 1 accident or damage reported,Yes,"$27,500",252.0,2.0,I4
1627,Subaru,WRX Base,2017,60930,Gasoline,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Manual,Blue,Black,None reported,Yes,"$23,750",268.0,2.0,I4
1628,Audi,A4 2.0T Titanium Premium,2019,7300,Gasoline,188.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Gray,None reported,Yes,"$27,900",188.0,2.0,I4
1629,Ford,Mustang EcoBoost Premium,2018,34000,not defined,–,Automatic,Blue,Gray,At least 1 accident or damage reported,Yes,"$25,000",310.0,2.3,I4
1630,Chevrolet,Avalanche 1500 LS,2012,56000,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,Automatic,Red,Black,At least 1 accident or damage reported,Yes,"$18,000",320.0,5.3,V8
1631,Mercedes-Benz,CLA-Class CLA 250,2014,136000,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Dual Shift,Gray,Black,At least 1 accident or damage reported,Yes,"$12,000",208.0,2.0,I4
1632,BMW,228 Gran Coupe i xDrive,2020,31100,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Blue,White,None reported,Yes,"$26,999",228.0,2.0,I4
1633,Maserati,GranTurismo Base,2012,12100,Gasoline,440.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Dual Shift,Blue,Beige,None reported,Yes,"$37,900",440.0,4.7,V8
1634,Ford,Expedition Platinum,2021,51902,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Red,Ceramic,None reported,Yes,"$57,480",400.0,3.5,V6
1635,Audi,S4 Base,2007,93000,Gasoline,340.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Manual,Black,Black,At least 1 accident or damage reported,Yes,"$10,995",340.0,4.2,V8
1636,Land,Rover Range Rover Sport Supercharged HSE,2016,99915,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Blue,White,At least 1 accident or damage reported,Yes,"$26,500",340.0,3.0,V6
1637,Ford,Mustang Mach-E GT,2022,7661,not defined,Electric,Automatic,Star White,Black Onyx,None reported,No,"$49,599",480.0,0.0,Electric
1638,Chevrolet,Tahoe LTZ,2007,177000,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,Automatic,Gold,Beige,At least 1 accident or damage reported,Yes,"$10,750",320.0,5.3,V8
1639,Nissan,Xterra S,2008,100900,Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Gray,None reported,Yes,"$6,999",261.0,4.0,V6
1640,INFINITI,Q60 3.0T Premium,2017,107380,Gasoline,300.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Gray,At least 1 accident or damage reported,Yes,"$17,500",300.0,3.0,V6
1641,Ford,F-150 Raptor,2021,32957,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Oxford White,Black,None reported,No,"$77,900",450.0,3.5,V6
1642,Acura,TLX Base,2016,45000,Gasoline,206.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Automatic,Gray,Blue,None reported,Yes,"$16,500",206.0,2.4,I4
1643,Nissan,Frontier SV,2013,67000,Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Blue,Gray,None reported,Yes,"$15,500",261.0,4.0,V6
1644,Chevrolet,Camaro 1SS,2021,12600,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Manual,Gray,Black,None reported,Yes,"$47,000",455.0,6.2,V8
1645,Porsche,Panamera 4,2018,24882,Gasoline,330.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Dual Shift,White,Black,None reported,Yes,"$59,800",330.0,3.0,V6
1646,Acura,TLX PMC Edition,2020,6900,Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Red,Black,None reported,Yes,"$43,500",290.0,3.5,V6
1647,Kia,Sorento EX V6,2019,66075,Gasoline,3.3L V6 24V GDI DOHC,Automatic,Titanium Silver,Satin Black,None reported,No,"$23,754",290.0,3.3,V6
1648,Hyundai,Palisade SEL,2021,68050,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$29,600",291.0,3.8,V6
1649,Ford,F-250 Lariat,2017,128000,Diesel,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,Automatic,Gray,Black,None reported,Yes,"$50,000",440.0,6.7,V8
1650,BMW,430 i,2021,9472,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Blue,None reported,Yes,"$51,000",255.0,2.0,I4
1651,Mitsubishi,Lancer GTS,2009,185963,Gasoline,168.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Automatic,Orange,Gray,At least 1 accident or damage reported,Yes,"$5,100",168.0,2.4,I4
1652,Nissan,NV200 S,2019,52000,Gasoline,131.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Black,Gray,At least 1 accident or damage reported,Yes,"$19,500",131.0,2.0,I4
1653,Buick,Enclave Leather,2015,68653,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,Blue,Black,At least 1 accident or damage reported,Yes,"$18,950",288.0,3.6,V6
1654,Lexus,RX 330 Base,2004,151896,Gasoline,230.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Gray,None reported,Yes,"$7,900",230.0,3.3,V6
1655,Lexus,RX 450h F Sport,2019,43671,Hybrid,3.5L V6 24V PDI DOHC Hybrid,Automatic,Caviar,Rioja Red,None reported,No,"$44,950",308.0,3.5,V6
1656,Ford,F-250 Lariat,2017,72128,E85 Flex Fuel,6.2L V8 16V MPFI SOHC Flexible Fuel,Automatic,White,Camel,not defined,No,"$45,985",385.0,6.2,V8
1657,Kia,Forte Koup EX,2013,134207,Gasoline,156.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Black,–,At least 1 accident or damage reported,Yes,"$5,500",156.0,2.0,I4
1658,GMC,Terrain SLE,2020,26470,Gasoline,1.5L I4 16V GDI DOHC Turbo,Automatic,Summit White,Jet Black,None reported,Yes,"$29,900",170.0,1.5,I4
1659,Porsche,Macan Base,2018,82300,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$35,000",252.0,2.0,I4
1660,Lexus,RC 350 Base,2015,124000,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Dual Shift,Blue,Blue,None reported,Yes,"$24,000",306.0,3.5,V6
1661,Audi,S4 3.0T Premium Plus,2020,23823,Gasoline,3.0L V6 24V GDI DOHC Turbo,Automatic,Tango Red Metallic,Black,None reported,Yes,"$49,995",349.0,3.0,V6
1662,GMC,Yukon SLT,2002,222600,Gasoline,275.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Automatic,Gray,Beige,None reported,Yes,"$4,999",275.0,4.8,V8
1663,Lamborghini,Urus Base,2021,9500,Gasoline,641.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,"$279,900",641.0,4.0,V8
1664,INFINITI,QX60 Base,2014,154247,Gasoline,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,"$12,500",265.0,3.5,V6
1665,Chevrolet,Silverado 2500 LTZ H/D Extended Cab,2008,128000,Gasoline,353.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Beige,Black,None reported,Yes,"$23,500",353.0,6.0,V8
1666,Maserati,GranTurismo Base,2008,70000,Gasoline,405.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Automatic,Blue,Brown,At least 1 accident or damage reported,Yes,"$13,000",405.0,4.2,V8
1667,Acura,Integra GS-R,1995,123000,not defined,–,Manual,White,Blue,None reported,Yes,"$10,999",190.0,1.8,I4
1668,BMW,X6 M Base,2016,52375,Gasoline,567.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Brown,At least 1 accident or damage reported,Yes,"$48,600",567.0,4.4,V8
1669,Chrysler,300 S,2016,100574,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,"$17,500",300.0,3.6,V6
1670,Chrysler,300 Base,2014,85000,Gasoline,292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,White,–,At least 1 accident or damage reported,Yes,"$11,250",292.0,3.6,V6
1671,Acura,RDX w/A-Spec Package,2023,3959,Gasoline,2.0 Liter DOHC Turbo,Automatic,White,Black,None reported,No,"$48,998",272.0,2.0,I4
1672,Chevrolet,Corvette Stingray w/1LT,2021,10400,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,None reported,Yes,"$72,900",490.0,6.2,V8
1673,Chevrolet,Camaro 1SS,2019,19200,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Manual,Orange,Black,None reported,Yes,"$41,500",455.0,6.2,V8
1674,Mercedes-Benz,E-Class E 350 4MATIC,2013,81000,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Gray,Beige,At least 1 accident or damage reported,Yes,"$13,000",302.0,3.5,V6
1675,Ford,F-150 Raptor,2022,17451,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Oxford White,Rhapsody Blue,None reported,No,"$77,900",450.0,3.5,V6
1676,Nissan,Versa 1.8 S,2011,165000,Gasoline,122.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Automatic,Black,–,None reported,Yes,"$4,000",122.0,1.8,I4
1677,BMW,M3 CS,2024,124,Gasoline,543.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Dual Shift,Green,Black,None reported,Yes,"$145,000",543.0,3.0,I6
1678,Hyundai,Accent GLS,2013,117500,Gasoline,138.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,Automatic,Silver,Gray,At least 1 accident or damage reported,Yes,"$6,500",138.0,1.6,I4
1679,Mercedes-Benz,S-Class S 450 4MATIC,2018,72500,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$60,000",362.0,3.0,V6
1680,Porsche,911 GT3,2023,265,Gasoline,4.0L H6 24V GDI DOHC,Manual,Black,Gray,None reported,Yes,"$279,950",502.0,4.0,H6
1681,Mercedes-Benz,AMG GT 63 S 4-Door,2020,21214,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,Automatic,Obsidian Black Metallic,Black,None reported,No,"$117,900",630.0,4.0,V8
1682,Audi,Q5 3.0 TDI Premium Plus,2014,55564,Diesel,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,"$22,500",240.0,3.0,V6
1683,Cadillac,LYRIQ Luxury,2023,1090,not defined,500.0HP Electric Motor Electric Fuel System,Automatic,Gray,Silver,None reported,Yes,"$68,750",500.0,0.0,Electric
1684,Volvo,XC60 T5 R-Design,2019,43500,Gasoline,250.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Dual Shift,Gray,Black,None reported,Yes,"$30,000",250.0,2.0,I4
1685,Mercedes-Benz,AMG GT 53 Base,2019,35000,Hybrid,429.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Dual Shift,Black,Black,None reported,Yes,"$83,000",429.0,3.0,I6
1686,GMC,Yukon SLT,2017,92031,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,At least 1 accident or damage reported,Yes,"$30,000",355.0,5.3,V8
1687,Lexus,GS 350 Base,2016,128032,Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Dual Shift,Silver,Black,None reported,Yes,"$18,000",311.0,3.5,V6
1688,Jaguar,XF 25t Premium,2018,18800,Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,White,None reported,Yes,"$26,000",247.0,2.0,I4
1689,BMW,M8 Gran Coupe Competition,2023,2900,Gasoline,617.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Green,Gray,None reported,Yes,"$117,500",617.0,4.4,V8
1690,Honda,Ridgeline Black Edition,2017,91600,Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$26,000",280.0,3.5,V6
1691,Toyota,4Runner SR5,2019,91843,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Blue,Black,At least 1 accident or damage reported,Yes,"$30,500",270.0,4.0,V6
1692,Ford,Bronco Sport Outer Banks,2021,28105,Gasoline,1.5L I3 12V PDI DOHC Turbo,Automatic,Kodiak Brown Metallic,Ebony,not defined,No,"$32,455",181.0,1.5,I3
1693,Dodge,Charger R/T 392,2017,73350,Gasoline,485.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Gray,Red,None reported,Yes,"$37,000",485.0,6.4,V8
1694,Mercedes-Benz,GLC 300 GLC 300,2022,11875,Gasoline,2.0 Liter Turbo,Automatic,Black,Black,None reported,No,"$41,598",255.0,2.0,I4
1695,Tesla,Model S P100D,2018,47000,not defined,518.0HP Electric Motor Electric Fuel System,Automatic,Black,Black,None reported,Yes,"$49,900",518.0,0.0,Electric
1696,INFINITI,Q50 3.0t Signature Edition,2017,67000,Gasoline,300.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Dual Shift,Black,Black,None reported,Yes,"$23,000",300.0,3.0,V6
1697,BMW,340 i,2016,117660,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,White,Black,At least 1 accident or damage reported,Yes,"$19,500",320.0,3.0,I6
1698,Pontiac,Firebird Trans Am,2001,71448,Gasoline,200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,None reported,Yes,"$10,500",200.0,3.8,V6
1699,Nissan,NV Passenger NV3500 HD SV V8,2015,86000,Gasoline,317.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Automatic,Silver,Gray,None reported,Yes,"$29,500",317.0,5.6,V8
1700,Lexus,ES 350 Base,2020,15324,Gasoline,3.5L V6 24V PDI DOHC,Automatic,Black,Black,At least 1 accident or damage reported,No,"$33,364",268.0,3.5,V6
1701,BMW,135 is,2013,29400,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Manual,White,Beige,None reported,Yes,"$29,000",320.0,3.0,I6
1702,Lexus,IS 300 Base,2017,68871,Gasoline,255.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Red,None reported,Yes,"$28,450",255.0,3.5,V6
1703,Porsche,Cayenne S,2012,126000,Gasoline,400.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Dual Shift,Silver,Gray,None reported,Yes,"$17,999",400.0,4.8,V8
1704,Pontiac,Solstice GXP,2007,25718,Gasoline,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Manual,Yellow,Black,None reported,Yes,"$17,900",260.0,2.0,I4
1705,Porsche,Panamera Turbo,2015,67210,Gasoline,520.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Dual Shift,Blue,Beige,At least 1 accident or damage reported,Yes,"$51,950",520.0,4.8,V8
1706,BMW,X6 xDrive35i,2018,27214,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Dual Shift,Black,Black,At least 1 accident or damage reported,Yes,"$40,950",300.0,3.0,I6
1707,Ford,F-150 Limited,2019,42728,Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Dual Shift,Black,Brown,None reported,Yes,"$45,950",450.0,3.5,V6
1708,MINI,Cooper S Base,2010,97395,Gasoline,172.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,Manual,Yellow,Black,None reported,Yes,"$6,699",172.0,1.6,I4
1709,Mazda,Mazda3 i SV,2015,91700,Gasoline,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Red,Black,None reported,Yes,"$12,000",155.0,2.0,I4
